Titolo;Metascore;Metascore_Reviews;User_Score;Developer;Genres;Released_on
Planet of Lana;80;39;79;Wishfully;Action Adventure;23/05/2023
Plants vs. Zombies;87;41;87;PopCap;Defense;05/05/2009
Plants vs. Zombies: Battle for Neighborville;77;25;57;PopCap;Tactical Third Person Shooter;04/09/2019
Plants vs. Zombies Garden Warfare;76;65;75;PopCap;Tactical Third Person Shooter;25/02/2014
Plants vs. Zombies Garden Warfare 2;80;66;83;PopCap;Tactical Third Person Shooter;23/02/2016
PlateUp!;;;69;It's happening;Real-Time Strategy;04/08/2022
Populous;;;;Bullfrog Productions;Strategy;
Populous II: Trials of the Olympian Gods;;;;Bullfrog Productions;Strategy;
PowerWash Simulator;75;15;72;FuturLab;Virtual Career;14/07/2022
Prey;79;76;80;Arkane Studios;Action RPG;05/05/2017
Psychonauts;88;54;82;Double Fine Productions;3D Platformer;20/04/2005
Psychonauts 2;87;72;81;Double Fine Productions;3D Platformer;25/08/2021
Quake;94;9;87;id Software;FPS;22/06/1996
Quake II;;;88;id Software;FPS;09/12/1997
Quake III Arena;93;25;85;Raster;FPS;22/10/2000
Quake 4;81;62;76;Raven Software;FPS;11/10/2005
Quantum Break;77;112;73;Remedy Entertainment;Action;05/04/2016
Rage;81;77;68;id Software;FPS;04/10/2011
Rage 2;73;64;56;Avalanche Studios - id Software;FPS;13/05/2019
Rare Replay;84;76;80;Rare Ltd. - Code Mystics Inc.;Compilation;04/08/2015
ReCore;63;78;68;comcept - Armature Studio;Action Adventure;13/09/2016
Redfall;56;75;36;Arkane Studios;FPS;02/05/2023
Remnant II;80;71;71;Gunfire Games;Third Person Shooter;25/07/2023
Resident Evil 2;91;94;89;Capcom R&D Division 1;Survival;25/01/2019
Resident Evil 3;79;90;67;M-Two;Survival;03/04/2020
Return to Castle Wolfenstein;84;38;79;Nerve Software;FPS;06/05/2003
Return to Grace;78;12;72;Creative Bytes;First-Person Adventure;30/05/2023
Return to Monkey Island;87;59;76;Terrible Toybox;Point-and-Click;19/09/2022
Riders Republic;77;51;68;Ubisoft;Individual Sports;28/10/2021
Rise of Nations;89;30;87;Big Huge Games;Real-Time Strategy;20/05/2003
Road 96;79;44;77;Digixart Entertainment;First-Person Adventure;16/08/2021
Robin Hood – Sherwood Builders;;;53;MeanAstronauts;Open-World Action;29/02/2024
Roboquest;85;5;87;RyseUp Studios;FPS;07/11/2023
Rocket Arena;73;29;52;Final Strike Games;FPS;14/07/2020
Rolling Hills;74;9;71;Catch & Release;Tycoon;04/06/2024
Rush: A Disney Pixar Adventure;68;31;53;Asobo Studio;Adventure;20/03/2012
Ryse;60;77;65;Crytek;Linear Action Adventure;22/11/2013
The Saboteur;73;69;78;Pandemic Studios;Open-World Action;08/12/2009
ScreamRide;71;63;69;Frontier Developments;Simulation;03/03/2015
Sea of Solitude;69;50;60;Jo-Mei Games;Linear Action Adventure;05/07/2019
Sea of Stars;87;52;80;Sabotage Studio;JRPG;29/08/2023
Sea of Thieves;69;78;56;Rare Ltd.;Open-World Action;20/03/2018
Senua's Saga: Hellblade II;81;100;74;Ninja Theory;Action Adventure;21/05/2024
Serious Sam: Siberian Mayhem;70;25;79;Croteam;FPS;25/01/2022
Shadow of the Tomb Raider Def. Ed.;;;71;Eidos Montreal;Action Adventure;05/11/2019
Shadowrun Returns;76;54;74;Harebrained Schemes LLC;Turn-Based Tactics;25/07/2013
Shadowrun: Dragonfall Director's Cut;87;5;82;Harebrained Schemes LLC;Turn-Based Tactics;18/09/2014
Shadowrun: Hong Kong Extended Ed.;;;50;Codeglue - Harebrained Schemes LLC;Western RPG;21/06/2022
Sifu;81;83;79;Sloclap;3D Beat-'Em-Up;08/02/2022
SimCity;64;75;23;Maxis;Management;05/03/2013
SimCity 2000;62;9;75;Full Fat;Management;13/11/2003
SimCity 4;84;36;86;Maxis;Management;12/01/2003
The Sims 3;86;75;78;The Sims Studio;Virtual Life;02/06/2009
The Sims 4;70;75;43;Maxis;Virtual Life;02/09/2014
Skate 3;80;65;86;EA Black Box;Skating;11/05/2010
Skate [2007];86;59;82;EA Black Box;Skating;14/09/2007
Slay the Spire;89;28;79;Mega Crit Games;Card Battle;23/01/2019
Slayers X: Terminal Aftermath: Vengance of the Slayer;80;6;69;Big Z Studios;FPS;01/06/2023
Sniper Elite 5;77;60;64;Rebellion;Tactical FPS;26/05/2022
SnowRunner;81;23;71;Saber Interactive;Vehicle Sim;28/04/2020
Solar Ash;77;45;73;Heart Machine;Action Adventure;02/12/2021
South Park: The Fractured But Whole;79;75;78;Ubisoft San Francisco;RPG;17/10/2017
Space Engineers;68;4;52;Keen Software House;Sandbox;15/04/2020
Spiritfarer: Farewell Edition;84;37;82;Thunder Lotus Games;Sandbox;18/08/2020
Spirittea;76;10;69;Cheesemaster Games;Virtual Life;13/11/2023
SpongeBob SquarePants: Battle for Bikini Bottom – Rehydrated;68;38;88;Purple Lamp Studios;3D Platformer;23/06/2020
Spore;84;75;74;Maxis;Strategy;07/09/2008
Spyro Reignited Trilogy;82;83;83;Toys for Bob;Compilation;13/11/2018
SSX;82;65;65;EA Canada;Skiing;28/02/2012
Stacking;84;68;81;Double Fine Productions;Action Puzzle;09/02/2011
S.T.A.L.K.E.R. 2: Heart of Chornobyl;73;78;78;GSC Game World;FPS;20/11/2024
Star Trucker;73;15;61;Monster & Monster;Space Sim;03/09/2024
Star Wars Jedi: Fallen Order;79;81;76;Respawn Entertainment;Action Adventure;15/11/2019
Star Wars Battlefront;73;60;51;EA DICE;Tactical FPS;17/11/2015
Star Wars Battlefront II;68;67;18;EA DICE;Tactical FPS;14/11/2017
Star Wars Jedi: Survivor;85;121;69;Respawn Entertainment;Open-World Action;28/04/2023
Star Wars: Squadrons;79;52;56;Motive Studios;Space Combat Sim;02/10/2020
Starbound;81;23;73;Chucklefish;Sandbox;22/07/2016
StarCraft: Remastered;85;31;79;Blizzard Entertainment;Command RTS;14/08/2017
Stardew Valley;89;32;88;ConcernedApe;RPG;26/02/2016
Starfield;83;90;68;Bethesda Game Studios;Western RPG;06/09/2023
State of Decay 2;66;78;58;Undead Labs;Survival;18/05/2018
State of Decay: Year One;72;47;69;Undead Labs;Survival;28/04/2015
SteamWorld Build;74;31;72;The Station;Sandbox;01/12/2023
SteamWorld Dig;82;31;79;Image & Form;Metroidvania;08/08/2013
SteamWorld Dig 2;88;38;84;Image & Form;Metroidvania;21/09/2017
Stellaris;78;59;80;Paradox Development Studio;Real-Time Strategy;09/05/2016
Still Wakes the Deep;74;46;77;The Chinese Room;Survival;18/06/2024
Sunset Overdrive;81;89;79;Insomniac Games;Third Person Shooter;28/10/2014
Super Lucky's Tale;64;54;70;Playful Corp.;3D Platformer;07/11/2017
Super Mega Baseball 3;83;12;71;Metalhead Software;Baseball;13/05/2020
Super Mega Baseball 4;79;13;78;Metalhead Software;Baseball;02/06/2023
Superhot: Mind Control Delete;78;35;68;SUPERHOT;Tactical FPS;16/07/2020
Superliminal;74;38;78;Pillow Castle Games;First-Person Adventure;12/11/2019
Tales of Arise;87;78;83;Bandai Namco Games;Action RPG;10/09/2021
Tchia;77;37;66;Awaceb;Open-World Action;21/03/2023
Teamfight Tactics;79;4;36;Riot Games;Turn-Based Tactics;18/03/2020
Techtonica;;;;Fire Hose Games;Sandbox;07/11/2024
Teenage Mutant Ninja Turtles: Shredder's Revenge;85;47;81;Tribute Games;2D Beat-'Em-Up;16/06/2022
Tell Me Why;78;46;58;DONTNOD Entertainment;Adventure;27/08/2020
Terra Invicta;;;47;Pavonis Interactive;Strategy;30/01/2023
Terraria;81;39;83;Engine Software;Sandbox;27/03/2013
Thirsty Suitors;80;22;54;Outerloop Games;Action Adventure;02/11/2023
This War of Mine: Final Cut;82;12;75;11 bit studios;Board;10/05/2022
Titanfall 2;89;64;85;Respawn Entertainment;FPS;28/10/2016
Tom Clancy's Rainbow Six Siege;73;40;70;Ubisoft Montreal;Tactical FPS;01/12/2015
Tom Clancy's Ghost Recon Wildlands;70;66;65;Ubisoft Paris;Open-World Action;07/03/2017
Tomb Raider Def. Ed.;85;54;81;Nixxes Software - Crystal Dynamics;Linear Action Adventure;28/01/2014
Torment: Tides of Numenera;81;76;69;InXile Entertainment;Western RPG;26/01/2016
Totally Accurate Battle Simulator;;;78;LandFall;Real-Time Tactics;17/12/2019
Totally Reliable Delivery Service;64;6;53;We're Five Games;Open-World Action;01/04/2021
Trailmakers;;;76;Flashbulb;Sandbox;21/05/2020
Train Sim World 5;;;55;Dovetail Games;Train Sim;17/09/2024
Trials of Mana;76;54;76;Xeen;Action RPG;24/04/2020
Tunic;85;66;79;ISOMETRICORP Games;Open-World Action;16/03/2022
Turbo Golf Racing;;;;Huge Calf Studios;Golf;04/04/2024
Turnip Boy Robs a Bank;82;19;76;Snoozy Kazoo;Action Adventure;18/01/2024
UFC 4;78;47;22;EA Vancouver;Combat Sport;14/08/2020
Unpacking;83;28;75;Witch Beam;Puzzle;02/11/2021
Unravel;78;76;81;Coldwood Interactive;2D Platformer;09/02/2016
Unravel Two;77;49;77;Coldwood Interactive;2D Platformer;09/06/2018
Valorant;80;45;48;Riot Games;Tactical FPS;02/06/2020
Vampire Survivors;86;31;82;poncle;Top-Down Shoot-'Em-Up;20/10/2022
Viva Pinata;84;65;78;Rare Ltd.;Virtual Life;09/11/2006
Viva Pinata TIP;82;64;83;Rare Ltd.;Virtual Life;02/09/2008
The Walking Dead: A New Frontier Complete Season;69;19;65;Telltale Games;Point-and-Click;20/12/2016
The Walking Dead: Michonne Complete Season;67;8;64;Skybound Games;Third-Person Adventure;26/04/2016
Wargroove 2;85;13;59;Robotality;Turn-Based Tactics;05/10/2023
Warhammer 40,000: Boltgun;75;49;76;Auroch Digital;FPS;23/05/2023
Warhammer 40,000: Darktide;74;75;53;Fatshark;FPS;30/11/2022
Wartales;79;18;78;Shiro Games;Western RPG;12/04/2023
Wasteland 2 Director's Cut;80;21;75;InXile Entertainment;Western RPG;13/10/2015
Wasteland 3;85;65;77;InXile Entertainment;Western RPG;28/08/2020
Wasteland Remastered;64;5;71;Krome Studios;Western RPG;25/02/2020
Watch Dogs 2;82;99;76;Ubisoft Montreal;Open-World Action;15/11/2016
A Way Out;78;66;79;Hazelight;Linear Action Adventure;23/03/2018
We Happy Few;62;66;59;Compulsion Games;Action Adventure;10/08/2018
We Love Katamari Reroll + Royal Reverie;81;18;75;MONKEYCRAFT Co. Ltd.;Action Adventure;02/06/2023
Wild Hearts;79;58;66;Omega Force;Action RPG;17/02/2023
Wildfrost;80;18;82;Deadpan Games;Card Battle;12/04/2023
Wo Long: Fallen Dynasty;80;76;65;Team Ninja;Action RPG;03/03/2023
Wolfenstein 3D;66;10;76;Nerve Software;FPS;03/06/2009
Wolfenstein: The New Order;79;73;80;MachineGames;FPS;20/05/2014
Wolfenstein: The Old Blood;76;55;76;MachineGames;FPS;05/05/2015
Wolfenstein: Youngblood;69;59;25;MachineGames - Arkane Studios;FPS;26/07/2019
Wolfenstein II: The New Colossus;87;73;74;MachineGames;FPS;27/10/2017
World War Z: Aftermath;80;7;63;Saber Interactive;Tactical Third Person Shooter;21/09/2021
Wreckfest;81;33;75;Bugbear;Auto Racing;14/06/2018
Yakuza 0;85;94;88;Ryu ga Gotoku Studios;Open-World Action;24/01/2017
Yakuza 3 Remastered;77;10;71;Ryu ga Gotoku Studios;Open-World Action;11/02/2020
Yakuza 4 Remastered;78;8;75;Ryu ga Gotoku Studios;Open-World Action;29/10/2019
Yakuza 5 Remastered;82;7;80;Ryu ga Gotoku Studios;Open-World Action;11/02/2020
Yakuza 6: The Song of Life;83;97;85;Ryu ga Gotoku Studios;Open-World Action;17/04/2018
Yakuza Kiwami;80;73;80;Ryu ga Gotoku Studios;Open-World Action;29/08/2017
Yakuza Kiwami 2;85;72;84;Ryu ga Gotoku Studios;Open-World Action;28/08/2018
Yakuza: Like a Dragon;84;56;82;Ryu ga Gotoku Studios;JRPG;10/11/2020
The Yakuza Remastered Collection;83;23;79;Ryu ga Gotoku Studios;Compilation;20/08/2019
Zombie Army 4: Dead War;72;60;62;Rebellion;Third Person Shooter;04/02/2020
Zoo Tycoon: Ultimate Animal Collection;70;6;59;Asobo Studio;Tycoon;31/10/2017
Zuma;77;16;70;Oberon Media;Matching Puzzle;22/11/2005
Zuma's Revenge;78;17;75;PopCap;Action Puzzle;15/09/2009
