Titolo;Metascore;Metascore_Reviews;User_Score;Developer;Genres;Released_on
Crash Bandicoot N. Sane Trilogy;80;87;84;Vicarious Visions;Compilation;30/06/2017
Crash Team Racing Nitro-Fueled;83;76;71;Beenox;Auto Racing;21/06/2019
Creatures of Ava;72;19;68;Inverge Studios;Open-World Action;07/08/2024
Cricket 24;57;7;53;Big Ant Studios;Cricket;05/10/2023
Crimson Skies: High Road to Revenge;88;49;88;FASA Studio;Aircraft Combat Sim;21/10/2003
Crusader Kings III;91;66;83;Paradox Interactive;Real-Time Strategy;01/09/2020
Crysis;91;56;81;Crytek;FPS;13/11/2007
Crysis 2;84;72;76;Crytek;FPS;22/03/2011
Crysis 3;76;47;68;Crytek;FPS;19/02/2013
Dante's Inferno;73;71;76;Visceral Games;Linear Action Adventure;09/02/2010
Darkest Dungeon;84;59;79;Red Hook Studios;RPG;03/02/2015
Day of the Tentacle Remastered;86;39;80;Double Fine Productions;Point-and-Click;21/03/2016
DayZ;31;6;39;Dean 'Rocket' Hall;Survival;30/05/2019
Dead by Daylight;64;18;54;505 Games;Survival;20/06/2017
Dead Cells;89;40;83;Motion Twin;Metroidvania;07/08/2018
Dead Island 2;73;91;74;Deep Silver Dambuster Studios;FPS;21/04/2023
Dead Space [2008];89;79;87;EA Redwood Shores;Third Person Shooter;13/10/2008
Dead Space [2023];89;96;84;Motive Studios;Survival;27/01/2023
Dead Space 2;90;83;87;Visceral Games;Third Person Shooter;25/01/2011
Dead Space 3;78;68;64;Visceral Games;Linear Action Adventure;05/02/2013
Dead Space Ignition;35;26;42;Sumo Digital;Action Puzzle;13/10/2010
Death's Door;85;61;81;Acid Nerve;Action Adventure;20/07/2021
Deathloop;88;116;68;Arkane Studios;FPS;14/09/2021
Deep Rock Galactic;85;21;84;Ghost Ship Games;FPS;13/05/2020
Depersonalization;;;;Meow method nature;Western RPG;19/12/2022
Descenders;75;15;64;RageSquid;Biking;25/08/2020
Diablo;94;12;86;Blizzard Entertainment;Action RPG;31/12/1996
Diablo IV;86;96;25;Blizzard Entertainment;Action RPG;06/06/2023
DIRT 5;79;38;53;Codemasters;Auto Racing Sim;03/11/2020
DiRT Rally 2.0;84;35;65;Codemasters;Auto Racing Sim;26/02/2019
Dishonored 2;88;67;80;Arkane Studios;Action Adventure;10/11/2016
Dishonored Def. Ed.;80;32;78;Arkane Studios;Action Adventure;25/08/2015
Dishonored: Death of the Outsider;82;49;71;Arkane Studios;Action Adventure;15/09/2017
Disney Dreamlight Valley;70;13;56;Gameloft;Virtual Life;05/12/2023
Disneyland Adventures;73;33;41;Frontier Developments;Action Adventure;15/11/2011
Donut County;75;29;72;Ben Esposito;Action Adventure;28/08/2018
DOOM;79;73;83;Panic Button;FPS;10/11/2017
DOOM [1993];82;26;85;Nerve Software;FPS;27/09/2006
DOOM 3;87;83;77;id Software;FPS;03/08/2004
DOOM 64;76;10;80;Nightdive Studios;FPS;20/03/2020
Doom Eternal;88;68;86;id Software;FPS;20/03/2020
Dordogne;76;12;74;Un Je Ne Sais Quoi;Adventure;13/06/2023
Dragon Age: Origins;86;68;85;BioWare;Western RPG;03/11/2009
Dragon Age II;79;75;49;BioWare;Action RPG;08/03/2011
Dragon Age: Inquisition;85;45;61;BioWare;Western RPG;18/11/2014
Dune: Spice Wars;73;21;62;Shiro Games;4X Strategy;14/09/2023
Dungeon Keeper;;;90;Bullfrog Productions;Real-Time Strategy;26/06/1997
